PREGUNTA,Parte,Dificultad,OPCION_CORRECTA,TEXTO,Discriminacion,_,__
Choose the most appropriate response to this question.<br><br>I have been waiting for you for the last two hours! Where have you been?,2.0,0.6359220281,N,b) I'm at the library. I've been reading a film review.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>I have been waiting for you for the last two hours! Where have you been?,2.0,0.6359220281,N,c) I've been thinking of you all day.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>I have been waiting for you for the last two hours! Where have you been?,2.0,0.6359220281,S,"a) I've been studying for tomorrow&#146;s test. Sorry, I lost track of the time.",1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>I'm here in college. Where are you?   ,1.0,-3.6821069239999997,S,b) I&#146;m right next to you.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>I'm here in college. Where are you?   ,1.0,-3.6821069239999997,N,"c) No, I&#146;m not.",1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>I'm here in college. Where are you?   ,1.0,-3.6821069239999997,N,"a) Yes, I&#146;m home now.",1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>Is it true that the bride was stood up?,3.0,0.3922612451,S,"c) Yeah, That guy must have changed his mind the last minute.",1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>Is it true that the bride was stood up?,3.0,0.3922612451,N,"b) Yeah,  that guy might have gotten tired of standing in line so long . ",1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>Is it true that the bride was stood up?,3.0,0.3922612451,N,"a) Yeah , that guy must have loved her a lot to do something like that.",1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>Is Michelle at home now?,1.0,3.55544585,N,"b)Yes, they are. Let me call them.",1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>Is Michelle at home now?,1.0,3.55544585,S,"a)Yes, she is. Wait a second.",1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>Is Michelle at home now?,1.0,3.55544585,N,"c)No, she isn't. She's at home.",1.0,0.0,0.0
"Choose the most appropriate response to this question<br><br>Is the music disturbing you, Mr. Dylan?",1.0,-0.9065315498000001,N,"c) Yes, throw it in the garbage please.",1.0,0.0,0.0
"Choose the most appropriate response to this question<br><br>Is the music disturbing you, Mr. Dylan?",1.0,-0.9065315498000001,N,"b) Yes, turn it all the way up, I love Rock.",1.0,0.0,0.0
"Choose the most appropriate response to this question<br><br>Is the music disturbing you, Mr. Dylan?",1.0,-0.9065315498000001,S,"a) Yes, turn it down, please.",1.0,0.0,0.0
Choose the most appropriate response to this question .<br><br>Is there any coffee left?,1.0,1.340754521,N,"c) Yes, it left at 3:00 p.m.",1.0,0.0,0.0
Choose the most appropriate response to this question .<br><br>Is there any coffee left?,1.0,1.340754521,N,b) No. David just ate the last one.,1.0,0.0,0.0
Choose the most appropriate response to this question .<br><br>Is there any coffee left?,1.0,1.340754521,S,"a) Yes, go ahead and help yourself!",1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>Is there any space in the parking lot?,1.0,1.56081297,N,"a) Yes, there are a lot of parks and cars in the city.",1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>Is there any space in the parking lot?,1.0,1.56081297,N,b) I park when there's space.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>Is there any space in the parking lot?,1.0,1.56081297,S,"c) No, it's full.",1.0,0.0,0.0
"Choose the most appropriate response to this question.<br><br>I was offered a job in Indonesia, but I'm confused. Should I take it?",1.0,1.48987209,N,"c) Well, I think they should offer you a job there.",1.0,0.0,0.0
"Choose the most appropriate response to this question.<br><br>I was offered a job in Indonesia, but I'm confused. Should I take it?",1.0,1.48987209,N,"b) No, don&#146;t take it. Indonesia is a better option.",1.0,0.0,0.0
"Choose the most appropriate response to this question.<br><br>I was offered a job in Indonesia, but I'm confused. Should I take it?",1.0,1.48987209,S,a) You should go for a visit  there to see if you like it,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>My car&#146;s broken down. Can you help?,1.0,1.953251184,N,"c)No, thanks, I think I'll take the bus.",1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>My car&#146;s broken down. Can you help?,1.0,1.953251184,N,b)Your car is broken down and I helped you.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>My car&#146;s broken down. Can you help?,1.0,1.953251184,S,a) Sure. I&#146;ll take you home.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>What time did the meeting finish?,1.0,1.609839816,N,c) He didn&#146;t say exactly but he said it would be late afternoon.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>What time did the meeting finish?,1.0,1.609839816,S,b) About ten minutes ago. It was really boring.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>What time did the meeting finish?,1.0,1.609839816,N,a) Only ten minutes. He was in a hurry.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>What time did you get up this morning?,1.0,-0.10131356,N,c) It was time to have breakfast and go to work.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>What time did you get up this morning?,1.0,-0.10131356,S,b) A few minutes before my husband left.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>What time did you get up this morning?,1.0,-0.10131356,N,a) Only ten minutes because I was very sleepy.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>What time will they arrive?,1.0,4.1828934239999995,N,c) It is 2:00 PM.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>What time will they arrive?,1.0,4.1828934239999995,S,b) They&#146;ll be here by lunchtime.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>What time will they arrive?,1.0,4.1828934239999995,N,a) Yes. I think they&#146;ll go to bed as soon as they arrive.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>What time will you come back to the office?,1.0,-1.412510937,N,c) I think I&#146;ll take a siesta.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>What time will you come back to the office?,1.0,-1.412510937,S,b) I think I&#146;ll be here by 3:00.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>What time will you come back to the office?,1.0,-1.412510937,N,a) We&#146;ll catch the early flight.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>What will you do after work?,1.0,-1.774752,N,c) I´ll type this document before living.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>What will you do after work?,1.0,-1.774752,S,b) I think I'll go home and rest.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>What will you do after work?,1.0,-1.774752,N,a) It's terrible. I also have to stay after work,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>When did she arrive?,1.0,4.374236818,S,"c) On Tuesday, I think.",1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>When did she arrive?,1.0,4.374236818,N,b) She arrived by plane.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>When did she arrive?,1.0,4.374236818,N,a) She arrived to her parents place first.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>Where are you going next weekend?,1.0,-0.6130064647,N,"c) Yes, I&#146;ll put my feet up and read a good book.",1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>Where are you going next weekend?,1.0,-0.6130064647,N,b) I think I&#146;ll go to bed now.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>Where are you going next weekend?,1.0,-0.6130064647,S,a) I&#146;m not sure. I think we&#146;ll probably stay home.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>Where did you buy that  computer?,1.0,1.1843950559999998,N,c) We bought it like two years ago.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>Where did you buy that  computer?,1.0,1.1843950559999998,S,"b) Some small independent shop, I think.",1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>Where did you buy that  computer?,1.0,1.1843950559999998,N,a)That computer is not going to last long.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>Where did you stay the last time you went to London?,1.0,0.5632173908,N,c) At least fifteen minutes.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>Where did you stay the last time you went to London?,1.0,0.5632173908,S,b) At the Intercontinental. It was an excellent price for London.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>Where did you stay the last time you went to London?,1.0,0.5632173908,N,a) Only three days. I was on a business trip.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>Where's the book I lent you?,1.0,2.5459776030000003,N,"c)No, it isn&#146;t.",1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>Where's the book I lent you?,1.0,2.5459776030000003,N,b)They're right next to you . Can't you see it?,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>Where's the book I lent you?,1.0,2.5459776030000003,S,a)It's right next to theTV.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>Which train do you think I should take?,1.0,3.193266228,N,c) Buy the most convenient.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>Which train do you think I should take?,1.0,3.193266228,N,b) Get trained in the morning.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>Which train do you think I should take?,1.0,3.193266228,S,a) Get the early one.,1.0,0.0,0.0
Choose the most appropriate response to this question<br><br>Who can I talk to about the new product?,1.0,2.267576359,N,"c) Yes, I love to talk about the new product.",1.0,0.0,0.0
Choose the most appropriate response to this question<br><br>Who can I talk to about the new product?,1.0,2.267576359,S,b) Speak to Rachel. She knows all about it.,1.0,0.0,0.0
Choose the most appropriate response to this question<br><br>Who can I talk to about the new product?,1.0,2.267576359,N,a) Don&#146;t talk about that product.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>Why did you tell him that?,1.0,3.642553274,N,c) He wanted me to spell it for him.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>Why did you tell him that?,1.0,3.642553274,N,b) I told him that too.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>Why did you tell him that?,1.0,3.642553274,S,a) I&#146;m sorry. I didn&#146;t realize that it was confidential.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>Will you get married one day?,1.0,3.122826287,N,c) People get married every day.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>Will you get married one day?,1.0,3.122826287,N,b) We got married during a very stormy day.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>Will you get married one day?,1.0,3.122826287,S,a) I hope so. I want to have a wife and kids,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>You are totally lost!,1.0,0.1889167103,N,b) That&#146;s what you should do.,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>You are totally lost!,1.0,0.1889167103,N,a) Keep up the good job!,1.0,0.0,0.0
Choose the most appropriate response to this question.<br><br>You are totally lost!,1.0,0.1889167103,S,c) Ask your supervisor. She can clarify things for you.,1.0,0.0,0.0
Choose the most appropriate response to this sentence.<br><br>Do you think the company's annual report was the most informative to date?,2.0,0.9075859251999999,N,c) How much information will we need for the report?,1.0,0.0,0.0
Choose the most appropriate response to this sentence.<br><br>Do you think the company's annual report was the most informative to date?,2.0,0.9075859251999999,N,"b) Actually, the date to submit information  coincides with the company's anniversary.",1.0,0.0,0.0
Choose the most appropriate response to this sentence.<br><br>Do you think the company's annual report was the most informative to date?,2.0,0.9075859251999999,S,"a) Indeed, it was also the best presentation given by one of our executives.",1.0,0.0,0.0
Choose the most appropriate response to this sentence.<br><br>Edward is the better of the  twins at geometry.,2.0,-0.43249350670000003,N,c) That&#146;s incorrect! He is the best of the twins.,1.0,0.0,0.0
Choose the most appropriate response to this sentence.<br><br>Edward is the better of the  twins at geometry.,2.0,-0.43249350670000003,N,b) I don't think so. His brother always gets the lower grades.,1.0,0.0,0.0
Choose the most appropriate response to this sentence.<br><br>Edward is the better of the  twins at geometry.,2.0,-0.43249350670000003,S,"a) Yes, it's probably because he studies so much.",1.0,0.0,0.0
Choose the most appropriate response to this sentence.<br><br>I'm not sure whether the Magdalena is as long as the Danube.,2.0,0.8651014129000001,S,"a) Keep studying your geography, you&#146;ll discover amazing answers to questions like that one.",1.0,0.0,0.0
Choose the most appropriate response to this sentence.<br><br>I'm not sure whether the Magdalena is as long as the Danube.,2.0,0.8651014129000001,N,b) Magdalena! You and your brother have been spending too long playing.,1.0,0.0,0.0
Choose the most appropriate response to this sentence.<br><br>I'm not sure whether the Magdalena is as long as the Danube.,2.0,0.8651014129000001,N,c) I'm not sure. Ask them to stand in the corner and we'll measure them. ,1.0,0.0,0.0
Choose the most appropriate response to this statement .<br><br>Andrew needs to speak German by the end of the year.,1.0,-0.9609003824,N,c) He should invite his German friend to stay after Christmas.,1.0,0.0,0.0
Choose the most appropriate response to this statement .<br><br>Andrew needs to speak German by the end of the year.,1.0,-0.9609003824,S,"b) Well, he should go for private lessons.",1.0,0.0,0.0
Choose the most appropriate response to this statement .<br><br>Andrew needs to speak German by the end of the year.,1.0,-0.9609003824,N,a) You should tell German to buy a dictionary.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br><br>What happened here? This is awful!,2.0,1.8705690469999998,S,c) Someone has broken in!,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br><br>What happened here? This is awful!,2.0,1.8705690469999998,N,b) Someone has cleaned up my room!,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br><br>What happened here? This is awful!,2.0,1.8705690469999998,N,a) Someone has bought my clothes!,1.0,0.0,0.0
Choose the most appropriate response to this statement .<br><br>Camberra  is one of the most important cities of Australia.,1.0,-0.02153557671,S,b) Is it? ,1.0,0.0,0.0
Choose the most appropriate response to this statement .<br><br>Camberra  is one of the most important cities of Australia.,1.0,-0.02153557671,N,a) Are they?,1.0,0.0,0.0
Choose the most appropriate response to this statement .<br><br>Camberra  is one of the most important cities of Australia.,1.0,-0.02153557671,N,c) Is she?,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Can you cook?,1.0,-0.6079525272,S,"c) Not very well, only fast food.",1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Can you cook?,1.0,-0.6079525272,N,b) No. I don't know how to sweep.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Can you cook?,1.0,-0.6079525272,N,a) Of course. In my bedroom.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Can you play tennis?,1.0,1.06354992,N,a) I love those kinds of shoes.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Can you play tennis?,1.0,1.06354992,S,b) I'm learning. I practice with an instructor twice a week.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Can you play tennis?,1.0,1.06354992,N,c) No. I can&#146;t use the glove very well.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Can you ride a bike?,1.0,-0.02831093937,N,"c) Of course, I'm an excellent runner.",1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Can you ride a bike?,1.0,-0.02831093937,N,"b) No, because I love cars.",1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Can you ride a bike?,1.0,-0.02831093937,S,"a) Yes, my father taught me when I was five.",1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Can you ski?,1.0,2.181577738,S,"c) No, I tried once, but I broke my leg.",1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Can you ski?,1.0,2.181577738,N,b) I can type 50 words a minute.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Can you ski?,1.0,2.181577738,N,a) Of course. Specially when it rains.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Can you speak French?,1.0,1.606182336,S,"c) Yes, but I use it only when I travel.",1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Can you speak French?,1.0,1.606182336,N,b) No. I don't like French fries.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Can you speak French?,1.0,1.606182336,N,"a) No, some French are not very friendly",1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Can you swim?,1.0,2.4370347409999997,N,"c) Only in the shower, but not very well.",1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Can you swim?,1.0,2.4370347409999997,N,"b) No, every time I try I fall down.",1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Can you swim?,1.0,2.4370347409999997,S,a)Yes. I started taking lessons when I was five.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Can you understand the instructions she is giving?,1.0,3.370522728,S,"a) No, she&#146;s really unclear.",1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Can you understand the instructions she is giving?,1.0,3.370522728,N,"b) Not very well, only when I read.",1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Can you understand the instructions she is giving?,1.0,3.370522728,N,"c) No, because she is driving very fast.",1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Ellen should be here at the arrivals lounge by now.,2.0,0.37049835740000003,S,c) Her plane must be late.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Ellen should be here at the arrivals lounge by now.,2.0,0.37049835740000003,N,b) She has a long way to come.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Ellen should be here at the arrivals lounge by now.,2.0,0.37049835740000003,N,a) I&#146;m so glad she could make it.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Everybody  likes chatting today. Too bad I don&#146;t own a computer. ,1.0,-0.20822059510000002,N,c) You shouldn&#146;t spend so much time in those chat rooms.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Everybody  likes chatting today. Too bad I don&#146;t own a computer. ,1.0,-0.20822059510000002,S,b) You should buy a new computer.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Everybody  likes chatting today. Too bad I don&#146;t own a computer. ,1.0,-0.20822059510000002,N,a) You shouldn&#146;t  speak that much with your friends.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Everyone at the party is having fun.      ,1.0,0.6819796721,S,c) You are right. Everybody is laughing and dancing.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Everyone at the party is having fun.      ,1.0,0.6819796721,N,b) My God! Everybody is fighting.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Everyone at the party is having fun.      ,1.0,0.6819796721,N,a) I agree. The party is very funny.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Few people came to see the game.,3.0,0.4373751993,N,c) No wonder! That&#146;s why I couldn&#146;t get a ticket.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Few people came to see the game.,3.0,0.4373751993,N,b) I&#146;m glad so many people showed up.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Few people came to see the game.,3.0,0.4373751993,S,"a) Yes, it was rather sad.",1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Gosh! I really miss those old childhood days ...,3.0,-1.2285066470000001,N,c) Why? When did you use to do it?,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Gosh! I really miss those old childhood days ...,3.0,-1.2285066470000001,S,b) Why? What did you use to do then?,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Gosh! I really miss those old childhood days ...,3.0,-1.2285066470000001,N,a) Why? What would you have done?,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Harry doesn&#146;t feel he has got a future with the company. ,1.0,1.6555609919999998,S,a) He shouldn't worry. He's a very good employee.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Harry doesn&#146;t feel he has got a future with the company. ,1.0,1.6555609919999998,N,"b) In the future, he should think about the company when it's his.",1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Harry doesn&#146;t feel he has got a future with the company. ,1.0,1.6555609919999998,N,"c) If Harry thinks it's okay, he can be my companion.",1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Have you had lunch already?,2.0,1.56831771,N,"c) Yes, the groceries are in the fridge. Let&#146;s start cooking.",1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Have you had lunch already?,2.0,1.56831771,S,"b) Yes, I think it was rather salty.",1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>Have you had lunch already?,2.0,1.56831771,N,"a) Yes, I have it in the car.",1.0,0.0,0.0
"Choose the most appropriate response to this statement.<br><br>He&#146;s too young to vote, but old enough to go to war.",3.0,-1.7974244330000002,N,b) That&#146;s why he will vote before joining the army.,1.0,0.0,0.0
"Choose the most appropriate response to this statement.<br><br>He&#146;s too young to vote, but old enough to go to war.",3.0,-1.7974244330000002,N,"c) That&#146;s why he will vote, but won&#146;t go to war.",1.0,0.0,0.0
"Choose the most appropriate response to this statement.<br><br>He&#146;s too young to vote, but old enough to go to war.",3.0,-1.7974244330000002,S,"a) So, he should be able to vote when he returns from the overseas campaign.",1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>He has very little patience with children.,3.0,2.07571594,S,c) I don&#146;t think he should be teaching kids. ,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>He has very little patience with children.,3.0,2.07571594,N,"b) Since that&#146;s what you need, I&#146;ll  consider sending my kids to that school next year.",1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>He has very little patience with children.,3.0,2.07571594,N,a) You are right! He even got promoted to homeroom teacher.,1.0,0.0,0.0
"Choose the most appropriate response to this statement.<br><br>He is from Texas, in  the South.",1.0,0.4745205597,N,"c) No, she&#146;s American.<br>",1.0,0.0,0.0
"Choose the most appropriate response to this statement.<br><br>He is from Texas, in  the South.",1.0,0.4745205597,N,a) What is he doing there?,1.0,0.0,0.0
"Choose the most appropriate response to this statement.<br><br>He is from Texas, in  the South.",1.0,0.4745205597,S,b) Is he?,1.0,0.0,0.0
"Choose the most appropriate response to this statement.<br><br>Hey mom, I&#146;m leaving!",1.0,0.9175958978000001,N,b) Please wash your hands before sitting at the table.,1.0,0.0,0.0
"Choose the most appropriate response to this statement.<br><br>Hey mom, I&#146;m leaving!",1.0,0.9175958978000001,N,a) How was school?,1.0,0.0,0.0
"Choose the most appropriate response to this statement.<br><br>Hey mom, I&#146;m leaving!",1.0,0.9175958978000001,S,c) Please be on time for dinner.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>I&#146;m really worried about my future.,1.0,0.7203512051000001,N,"c) No, thanks. I don&#146;t want to know about my future.",1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>I&#146;m really worried about my future.,1.0,0.7203512051000001,N,a) Stop studing or you won&#146;t have a future.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>I&#146;m really worried about my future.,1.0,0.7203512051000001,S,b) Stop worrying and study or you won&#146;t have a future.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>I&#146;m sorry! The traffic was a complete mess.,3.0,0.9713058171,N,c) You should have told me you were going to be here early.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>I&#146;m sorry! The traffic was a complete mess.,3.0,0.9713058171,S,b) Never mind! But we should have started working at 7:30 a.m.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>I&#146;m sorry! The traffic was a complete mess.,3.0,0.9713058171,N,a) I knew the traffic could not have been that bad. ,1.0,0.0,0.0
Choose the most appropriate response to this statement .<br><br>I&#146;m tired of my job.,1.0,0.9654539597,S,c) You should look in the Sunday Times. They always have lots of job ads,1.0,0.0,0.0
Choose the most appropriate response to this statement .<br><br>I&#146;m tired of my job.,1.0,0.9654539597,N,b) You should get a new office.,1.0,0.0,0.0
Choose the most appropriate response to this statement .<br><br>I&#146;m tired of my job.,1.0,0.9654539597,N,"a) If you have tried looking for a job so much, you should be happy.",1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>I can&#146;t go out because I have a lot of work.,1.0,-0.6634217427,N,c)I know. I can work very hard too.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>I can&#146;t go out because I have a lot of work.,1.0,-0.6634217427,S,b) That's too bad. I can help you if you want.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>I can&#146;t go out because I have a lot of work.,1.0,-0.6634217427,N,"a) Yes, If you feel sick you can't go to work.",1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>I can&#146;t use office machines very well.,1.0,1.27480134,N,"c) Yes, you&#146;re very good at using them.",1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>I can&#146;t use office machines very well.,1.0,1.27480134,S,b) Don't worry. I'll teach you how to use them.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>I can&#146;t use office machines very well.,1.0,1.27480134,N,a) You are right. These office machines are not working.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>I could barely recognize John yesterday. He looked awful!,3.0,0.7103569285,S,c) He may have had a terrible day.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>I could barely recognize John yesterday. He looked awful!,3.0,0.7103569285,N,"b) Well, he had to change his address after his wife left.",1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>I could barely recognize John yesterday. He looked awful!,3.0,0.7103569285,N,a) He must have gotten a make over.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>I don&#146;t know why those Japanese were so upset during dinner.,3.0,2.473580245,N,c) Eating Sushi must have made me feel upset too.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>I don&#146;t know why those Japanese were so upset during dinner.,3.0,2.473580245,S,"b)  Well, you were supposed to have taken off your shoes. That&#146;s why!",1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>I don&#146;t know why those Japanese were so upset during dinner.,3.0,2.473580245,N,"a) Well, I used to live in Tokyo during my youth.",1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>I don&#146;t think I&#146;ll pass. I definitely flunked it.,3.0,1.265194385,N,c) That doesn&#146;t surprise me. I knew you&#146;d make it.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>I don&#146;t think I&#146;ll pass. I definitely flunked it.,3.0,1.265194385,N,b) You should&#146;ve flushed it first.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>I don&#146;t think I&#146;ll pass. I definitely flunked it.,3.0,1.265194385,S,a) You shouldn&#146;t have gone out the day before the exam.,1.0,0.0,0.0
"Choose the most appropriate response to this statement.<br><br>I got this surprise birthday present, but it doesn&#146;t have a card.",2.0,5.187483374,N,c) I knew it was mark.,1.0,0.0,0.0
"Choose the most appropriate response to this statement.<br><br>I got this surprise birthday present, but it doesn&#146;t have a card.",2.0,5.187483374,N,b) It must be present.,1.0,0.0,0.0
"Choose the most appropriate response to this statement.<br><br>I got this surprise birthday present, but it doesn&#146;t have a card.",2.0,5.187483374,S,a) It might be from Mark.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>I'm starving. I haven&#146;t had a bite of anything in the entire morning.,2.0,1.375375543,S,"a) He&#146;s been working so hard, he hasn&#146;t had a minute to eat.",1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>I'm starving. I haven&#146;t had a bite of anything in the entire morning.,2.0,1.375375543,N,c) He&#146;s been on a diet since this morning.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>I'm starving. I haven&#146;t had a bite of anything in the entire morning.,2.0,1.375375543,N,b) He&#146;s been having a lot of fun since the day began.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>I recommend having the day special.,2.0,-0.1053723166,N,c) Thanks for recommending me.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>I recommend having the day special.,2.0,-0.1053723166,N,b) How did you know that it&#8217;s my birthday.,1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>I recommend having the day special.,2.0,-0.1053723166,S,"a) Thanks for the recommendation, but I think I&#146;ll take a look at the menu anyway.",1.0,0.0,0.0
Choose the most appropriate response to this statement.<br><br>It&#146;s a nice atmosphere. I see many people here are enjoying the festival.,1.0,0.08090033827000001,N,c) You are right. The festival is very hot.,1.0,0.0,0.0
