,PREGUNTA,Parte,Dificultad,OPCION_CORRECTA,TEXTO,Discriminacion,_,__
540,Choose the most appropriate response to this statement.<br><br>The car stopped when I least expected it.,3.0,1.019854072,S,a) Maybe you didn&#146;t get the oil changed when you were supposed to.,1.0,0.0,0.0
543,Choose the most appropriate response to this statement.<br><br>The house paint is peeling.,3.0,1.164616462,N,c) They must have painted it recently.,1.0,0.0,0.0
546,Choose the most appropriate response to this statement.<br><br>Their window is still broken.,3.0,0.1712043389,N,c) It was repaired over the weekend.,1.0,0.0,0.0
549,"Choose the most appropriate response to this statement.<br><br>The king of birds  feeds its offspring with live rodents, among other things.",2.0,1.532407376,N,c) Have you ever seen an octopus?,1.0,0.0,0.0
552,"Choose the most appropriate response to this statement.<br><br>The line at the baker&#146;s didn&#146;t use to be so long, but now it&#146;s terrible.",2.0,-0.8740531461,N,"a) Yes. Before, we had to line up for a long time.",1.0,0.0,0.0
555,Choose the most appropriate response to this statement .<br><br>There are a lot of parks and museums in my neighborhood.,1.0,-1.249547839,N,c) That&#146;s terreble! There&#146;s no parking near the museum.,1.0,0.0,0.0
558,Choose the most appropriate response to this statement .<br><br>There aren&#146;t many channels to watch.,1.0,0.4104009098,S,a) I know. I&#146;m going to change my cable company service.,1.0,0.0,0.0
561,Choose the most appropriate response to this statement .<br><br>There are plenty of rooms in this apartment.,1.0,0.4090590958,S,"c) That's good, we're eight in my family.",1.0,0.0,0.0
564,Choose the most appropriate response to this statement .<br><br>There is a lot of cheese in the fridge.,1.0,0.8217929814,N,c) Too much meat is bad for you.,1.0,0.0,0.0
567,"Choose the most appropriate response to this statement .<br><br>There isn&#146;t any bread or ham, but there&#146;s some fruit.",1.0,0.1851059314,S,"c) Thanks, I&#146;ll have a banana.",1.0,0.0,0.0
570,Choose the most appropriate response to this statement .<br><br>There's a lot of traffic at this time of the day.,1.0,-1.1893959159999998,N,"c) So, we'll get there with plenty of time.",1.0,0.0,0.0
573,"Choose the most appropriate response to this statement.<br><br>They are two of our best friends. Unfortunately, they are abroad.",1.0,-1.046862693,S,a) Where exactly are they now?,1.0,0.0,0.0
576,Choose the most appropriate response to this statement.<br><br>This circus is  wonderful! Clowns can really make us laugh.,1.0,-0.3699393649,S,"a) My uncle is a clown too, but he can&#146;t make anyone laugh.",1.0,0.0,0.0
579,Choose the most appropriate response to this statement.<br><br>This Filet Mignon tastes so good. How did you learn to cook so well?,2.0,-0.8124530557999999,S,a) I used to be a chef for a hotel chain.,1.0,0.0,0.0
582,"Choose the most appropriate response to this statement.<br><br>This morning, I tried calling my boyfriend&#146;s  phone, but he didn&#146;t answer.",3.0,1.028877073,S,a) He must&#146;ve been in the shower.,1.0,0.0,0.0
585,Choose the most appropriate response to this statement.<br><br>This must be a very boring party. Nobody is dancing.,1.0,-1.054115043,N,c) I&#146;m sorry. I don&#146;t want to dance.,1.0,0.0,0.0
588,Choose the most appropriate response to this statement.<br><br>This spaghetti is so disgusting!,3.0,-0.7681274235,N,c) I&#146;m glad you liked them.,1.0,0.0,0.0
591,Choose the most appropriate response to this statement.<br><br>Those people are crazy!! It is only spring and they are wearing summer clothes!,1.0,-1.982819198,N,"c) Yes, those coats, hats and boots are very fashionable.",1.0,0.0,0.0
594,Choose the most appropriate response to this statement.<br><br>Those women are blocking the entrance to that building.,1.0,-0.6732767467,S,a) I think they are protesting against the President.,1.0,0.0,0.0
597,Choose the most appropriate response to this statement.<br><br>We&#146;re leaving for Mexico on Friday.,1.0,1.1976034290000002,N,c) Did you buy that mexican hat there?,1.0,0.0,0.0
600,Choose the most appropriate response to this statement.<br><br>We have little time left to finish this.,3.0,0.1025087484,N,c) At last! I&#146;m glad we&#146;re done.,1.0,0.0,0.0
603,Choose the most appropriate response to this statement<br><br>What time shall I come for you?,2.0,0.02903718385,N,c) Could you take your car?,1.0,0.0,0.0
606,Choose the most appropriate response to this statement.<br><br>What time should I get there?,1.0,1.940864136,N,c) You should get the trolley.,1.0,0.0,0.0
609,Choose the most appropriate response to this statement.<br><br>What were you doing when the earthquake occurred?,2.0,0.2740040731,N,"c) Me? Well, I don't like earthquakes that much, so I took a trip to the zoo with the kids.",1.0,0.0,0.0
612,Choose the most appropriate response to this statement.<br><br>Who is on the phone with Sue? She looks happy!,2.0,0.7410948808,N,c) Ron. He must be very upset.,1.0,0.0,0.0
615,Choose the most appropriate response to this statement.<br><br>Why is that man taking the newspaper out of his bag?,1.0,-1.646233204,N,c) He&#146;s going to watch them tonight.,1.0,0.0,0.0
618,"Choose the most appropriate response to this statement.<br><br>Wow, that&#8217;s a nice car!",2.0,-0.3759998606,N,c) I have broken my cousin&#146;s.,1.0,0.0,0.0
621,Choose the most appropriate response to this statement.<br><br>Wow! There are a lot of people here. And look! more people are coming.,1.0,1.6556468290000002,S,a) You are right! I think they are celebrating New Year's Day,1.0,0.0,0.0
624,"Choose the option closest in meaning to the statement.<br><br>Everything happened so quickly. Even if I had tried to do something, I would have failed.",3.0,1.82521591,N,"c) The person tried doing something to prevent the situation, but failed.",1.0,0.0,0.0
627,Choose the option closest in meaning to the statement.<br><br>Global warming wouldn&#146;t be a problem now if human beings had become environmentally conscious 30 years ago.,3.0,0.264442474,S,c) We should have started taking care of the planet 30 years ago.,1.0,0.0,0.0
630,Choose the option closest in meaning to the statement.<br><br>High school students should be allowed to choose their own courses.,3.0,-0.5364934122999999,N,c) The courses can be selected by students.,1.0,0.0,0.0
633,"Choose the option closest in meaning to the statement.<br><br>Honey, if I had known you wanted to see it that much, I would have certainly recorded it.",3.0,1.435050401,N,a) The woman recorded the movie because she knew her husband wanted to see it.,1.0,0.0,0.0
636,"Choose the option closest in meaning to the statement.<br><br>If he hadn&#146;t fallen asleep while driving, he wouldn&#146;t have crashed his car.",3.0,-0.7073282951000001,N,c) He couldn&#146;t fall asleep because he crashed his car.,1.0,0.0,0.0
639,"Choose the option closest in meaning to the statement.<br><br>If Jack had followed the instructions in the manual, his new DVD player wouldn&#146;t have broken down.",3.0,-0.6415751984,N,"c) Jack followed the instructions in the manual, but the DVD player didn&#146;t work.",1.0,0.0,0.0
642,"Choose the option closest in meaning to the statement.<br><br>If the wind hadn&#146;t been so strong, the bridge wouldn&#146;t have collapsed.",3.0,-0.5422362368,N,c) The bridge would have collapsed even if the wind hadn&#146;t been so strong.,1.0,0.0,0.0
645,Choose the option closest in meaning to the statement.<br><br>It is mandatory that every food sample be enriched with vitamins.,3.0,-0.4029871261,S,c) The food samples have to be enriched with vitamins.,1.0,0.0,0.0
648,Choose the option closest in meaning to the statement.<br><br>I wouldn&#146;t have believed it if I hadn&#146;t seen it with my very own eyes.,3.0,-1.140855668,N,c) I&#146;m not sure it happened because I didn&#146;t see it.,1.0,0.0,0.0
651,"Choose the option closest in meaning to the statement.<br><br>Now, she regrets that she didn&#146;t come to John&#146;s wedding. If she had come she would have enjoyed herself.",3.0,-0.7858799761,N,c) She feels she shouldn&#146;t have enjoyed herself that much at the wedding.,1.0,0.0,0.0
654,Choose the option closest in meaning to the statement.<br><br>Simon has gone on holiday and I really need to speak to him. I wish he had given me his phone number.,3.0,-0.8591879392,N,c) I will call Simon even though he is on vacation.,1.0,0.0,0.0
657,Choose the option closest in meaning to the statement.<br><br>The police officer said the burglars wouldn&#146;t have broken into the house if the woman had closed all the doors and windows.,3.0,-0.5667358699,S,c) The burglars broke into the house because the woman left all the doors and windows open.,1.0,0.0,0.0
660,"Choose the option closest in meaning to the statement.<br><br>""We should know by Thursday whether our proposal has been approved.""",3.0,1.327113283,N,c) We know that the proposal was approved last Thursday.,1.0,0.0,0.0
663,"Choose the option that best completes what the speaker would say next.<br><br>After 20 minutes, I had had enough.",3.0,1.092444325,N,c) I even read the movie credits.,1.0,0.0,0.0
666,Choose the option that best completes what the speaker would say next.<br><br>That&#146;s it. I&#146;ve had enough!,3.0,-0.06998374307,N,c) You are welcome. Stop by again.,1.0,0.0,0.0
669,Choose the option that best completes what the speaker would say next.<br><br>This apartment isn&#146;t big enough for the two of us.,3.0,1.167761051,N,b) We should both move to a smaller one.,1.0,0.0,0.0
672,Choose the option that best explains what the speaker says.<br><br>I have little time for people who never listen to anyone else but themselves.,3.0,0.8630212975,N,a) I&#146;m all ears for them.,1.0,0.0,0.0
675,Choose the option that best explains what the speaker says.<br><br>Jordan gave very few reasons for closing down the bar.,3.0,0.5189714639,N,a) We all know why he closed it.,1.0,0.0,0.0
678,Choose the option that best explains what the speaker says.<br><br>Too many people were booked on the flight.,3.0,1.016852882,N,c) The plane was almost full.,1.0,0.0,0.0
681,Choose the phrase or statement that best represents what the speaker would say next<br><br>I cannot put up with their extravagance anymore.,2.0,0.2909093968,N,c) They&#8217;ve never had luxurious things.,1.0,0.0,0.0
684,Choose the phrase or statement that best represents what the speaker would say next<br><br>I desperately wanted to talk to you on thursday.,2.0,1.234052577,N,c) Our meeting on thursday was unexpected.,1.0,0.0,0.0
687,Choose the phrase or statement that best represents what the speaker would say next.<br><br>I have never been fond of extreme sports.,2.0,0.4192547673,S,"c) I have tried snowboarding, but it wasn&#146;t my thing",1.0,0.0,0.0
690,"Choose the phrase or statement that best represents what the speaker would say next.<br><br>It&#146;s started raining. Because of this, we can&#146;t go.",3.0,0.9446753523,N,a) So hurry up or we&#8217;ll never get there on time.,1.0,0.0,0.0
693,"Choose the phrase or statement that best represents what the speaker would say next.<br><br>It was a windy and rainy night. Nevertheless, I decided to go out.",3.0,-0.532217128,N,b) That&#8217;s why we didn&#8217;t need to take our coats.,1.0,0.0,0.0
696,Choose the phrase or statement that best represents what the speaker would say next.<br><br>No one seems to be a bookworm around here.,2.0,-0.6058974621000001,N,c) Those books have been on that shelf for just a short time.,1.0,0.0,0.0
699,"Choose the phrase or statement that best represents what the speaker would say next<br><br>Oh, my God. When&#146;s she going to stop eating?",2.0,-0.4983302061,S,c) She has already eaten five slices of pizza.,1.0,0.0,0.0
702,Choose the phrase or statement that best represents what the speaker would say next.<br><br>She's having one of her bad moods.,2.0,-0.3938412209,S,c) She's  been staying up late.,1.0,0.0,0.0
705,Choose the phrase or statement that best represents what the speaker would say next.<br><br>Shirley can&#146;t go skiing that often any more.,2.0,-1.155908804,N,c) She&#146;s had those skis for months!,1.0,0.0,0.0
708,"Choose the sentence closest in meaning to the one below.<br><br>Catherine is a speech major, as is her sister.",2.0,0.3685176602,S,c. Catherine and her sister study the same subject.,1.0,0.0,0.0
711,Choose the sentence closest in meaning to the one below.<br><br>It was surprising that Jack adapted to his new surroundings faster than his wife. ,2.0,-0.2677949676,S,c) Jack adapted well to his new environment. ,1.0,0.0,0.0
714,"Choose the sentence closest in meaning to the one below.<br><br>Like her predecessor, Julia takes many coffee breaks during her shift.",2.0,-0.5033126065,S,c) Julia&#146;s coffee breaks are as numerous as her predecessor&#146;s.,1.0,0.0,0.0
717,Choose the sentence closest in meaning to the one below.<br><br>Neither of the new assistants is more competent than the other.,2.0,0.4638827249,N,c) The new assistant is more capable than the other one.,1.0,0.0,0.0
720,"Choose the sentence that best describes what the speakers mean.<br><br>John: I heard you really liked Sao Paulo. <br>Peter: Yes, it&#146;s the best city I&#146;ve ever visited in the southern part of the country. The trip to the Brazilian south is quite exhausting, though.",3.0,0.8398698551,N,c) Going to the Brazilian south is the best thing that Peter has experienced.,1.0,0.0,0.0
723,Choose the sentence that best describes what the speakers mean.<br><br>Phil: I&#146;m never going back there! <br>Laura: I&#146;m sorry if I ever recommended you that mechanic.,3.0,-1.455668784,S,c) Phil really disliked the mechanic Laura recommended.,1.0,0.0,0.0
726,"Choose the sentence that best describes what the speakers mean. <br><br>Ron: Let&squo;s get rid of that maid, the chores are never done on time and she&squo;s mean to the kids. <br>Linda: But we just hired her!",3.0,0.8104623370999999,N,"c) The maid, who&squo;s mean to the kids, plans to leave them very soon.<br>",1.0,0.0,0.0
729,Choose the sentence that best describes what the speaker would say next.<br><br>Excuse me. Could you tell me where the nearest pub is?,3.0,0.08463905002000001,N,c) That&#146;s where I met my wife.,1.0,0.0,0.0
732,"Choose the sentence that best describes what the speaker would say next.<br><br>""I just got to the airport.""",3.0,0.992215011,N,a) Could you tell me what country this is?,1.0,0.0,0.0
735,Choose the sentence that best describes what the speaker would say next.<br><br>That&#146;s it! I&#146;ve had it with you two.,3.0,-0.5676586577,N,c) I wonder why you&#146;re being so kind.,1.0,0.0,0.0
738,Choose the sentence that best explains what the speaker mean.<br><br>Did you remember to visit your grandma in hospital?,2.0,0.6944107289,N,c) Do you remember visiting your grandma when she was in hospital?,1.0,0.0,0.0
741,Choose the sentence that best explains what the speaker mean.<br> <br>Jeremy is looking forward to finishing his degree before the fall.,2.0,0.9647183092,N,b) The temperature of Jeremy&#8217;s room dropped several degrees in the fall.,1.0,0.0,0.0
744,Choose the sentence that best explains what the speaker mean.<br><br>The company&#146;s president delayed paying the union workers.,2.0,-1.5826559080000002,N,c) The union workers got their salary on time.,1.0,0.0,0.0
747,Choose the sentence that best explains what the speaker means.<br><br>After the holidays it takes me a week to get used to getting up early again.,2.0,-0.6928408034,N,"c) During the holidays, it was hard for him to get up early.",1.0,0.0,0.0
750,"Choose the sentence that best explains what the speaker means.<br><br>At first , it was difficult for her to speak French all the time, but she has gotten used to it now.",2.0,1.4088116430000002,N,c) She  used to be a lot more fluent before.,1.0,0.0,0.0
753,Choose the sentence that best explains what the speaker means.<br><br>Bill&squo;s acupuncturist recommended  he stop smoking.,2.0,-0.2051090409,N,c) Bill had to stop smoking because he was at the acupuncturist&#146;s.,1.0,0.0,0.0
756,Choose the sentence that best explains what the speaker means.<br><br><br>I really want to find out whether animals have feelings.,3.0,0.9663927114,S,c) The speaker wants to know if animals  have feelings.,1.0,0.0,0.0
759,"Choose the sentence that best explains what the speaker means.<br><br>Every night after school, our father would check our notebooks to make sure we had done our homework.",2.0,0.2238892693,S,c) My father always checked our homework to see if we had done it or not.,1.0,0.0,0.0
762,Choose the sentence that best explains what the speaker means.<br><br>Families used to get together to listen to the radio.,2.0,0.1639710562,S,"c) They listened to the radio together, but not anymore.",1.0,0.0,0.0
765,"Choose the sentence that best explains what the speaker means.<br><br>""Gee! I wonder what Jane&#146;s problem is.""",3.0,0.9274301064,N,b) The speaker knows why Jane is acting that way.,1.0,0.0,0.0
768,Choose the sentence that best explains what the speaker means.<br><br>I can&#146;t tell whether they&#146;ll come.,3.0,-0.25345146350000003,N,c) They&#146;ll come if the weather is o.k.,1.0,0.0,0.0
771,"Choose the sentence that best explains what the speaker means.<br><br>I don&#146;t like strawberry ice cream. However, I&#146;m partial to chocolate flavor.",3.0,-0.5846425701,N,a) He likes both strawberry and chocolate ice cream.,1.0,0.0,0.0
774,"Choose the sentence that best explains what the speaker means.<br><br>I used to play football when I was young, but now I&#146;m too heavy and rusty to play.",2.0,2.022056587,N,a) He was out of shape and not a good football player in the past.,1.0,0.0,0.0
777,"Choose the sentence that best explains what the speaker means.<br><br>Jim doesn&#146;t have a girlfriend, but he used to.",2.0,1.8820276,S,"a) He had a girlfriend, but he doesn&#8217;t anymore.",1.0,0.0,0.0
780,"Choose the sentence that best explains what the speaker means.<br><br>John was in London for a year, but he could never get used to the insipid food and the miserable weather.",2.0,-2.123812533,N,c) John eventually started to like the food and the weather in England.,1.0,0.0,0.0
783,"Choose the sentence that best explains what the speaker means.<br><br>Karen is plump. Her cousin Kate, on the other hand, is slim.",3.0,1.340673802,N,c) Neither of them is thin.,1.0,0.0,0.0
786,Choose the sentence that best explains what the speaker means.<br><br>Listen to that music! Even my grandfather is dancing.,1.0,-1.485177458,N,c)This kind of music is especially made for grandfathers.,1.0,0.0,0.0
789,"Choose the sentence that best explains what the speaker means.<br><br>She&#146;s extremely rich. She&#146;s not snobbish, though.",3.0,1.389198813,N,"c) Since she doesn&#146;t have a lot of money, she shouldn&#146;t be snobbish.",1.0,0.0,0.0
792,"Choose the sentence that best explains what the speaker means.<br><br>Since the weather forecast warned us about the bad weather, I had the children put on two pullovers.",3.0,1.245699997,N,a) I warned the children about the bad weather.,1.0,0.0,0.0
795,"Choose the sentence that best explains what the speaker means.<br><br>The government is having problems with illegal immigration. Furthermore, the country&#146;s economic policies are failing.",3.0,0.576965645,N,c) Economic policies are failing because of illegal immigration.,1.0,0.0,0.0
798,"Choose the sentence that best explains what the speaker means.<br><br>The union workers will go on a strike, unless the board members accept their petitions.",3.0,1.22389006,S,"b) If the members of the board don&#8217;t improve work conditions, the workers will go on a strike.",1.0,0.0,0.0
801,"Choose the sentence that best explains what the speaker means.<br><br>They got me to fry them eggs for breakfast, which took quite long, because our stove is not in perfect order.",3.0,-1.110834547,S,"c) Even though it took me a while, I fried the eggs.",1.0,0.0,0.0
804,Choose the sentence that best explains what the speaker means.<br><br>Why don&#146;t you put on your coat? You could catch a cold.,2.0,0.1955577109,S,"a) By putting on your coat, you won&#8217;t get sick.",1.0,0.0,0.0
807,"Choose the sentence that means the same as the statement.<br><br>""Don&#146;t fly kites near electric overhead cables."" said my father.",3.0,1.418661305,S,c. My father warned me not to fly kites near electric overhead cables.,1.0,0.0,0.0
810,"Choose the sentence that means the same as the statement.<br><br>""I&#146;m feeling a little bit under the weather."" he said.",3.0,1.243783195,S,c. He said he was feeling a little sick.,1.0,0.0,0.0
813,"Choose the sentence that means the same as the statement.<br><br>""I promise I will eventually take you to Prague."" said Mary. ",3.0,1.809392295,S,c. Mary assured me I would be taken to Prague one day.,1.0,0.0,0.0
816,"Choose the sentence that means the same as the statement.<br><br>""Let&#146;s have lunch, I&#146;m starving,"" she said.",3.0,1.98980015,N,c. She made me have lunch with her because I was starving.,1.0,0.0,0.0
819,"Choose the sentence that means the same as the statement.<br><br>&quot;Don&#146;t forget to phone Granny,&quot; said Mom.",3.0,-0.04143651478,N,c. Mom refused to call Granny. ,1.0,0.0,0.0
822,"Choose the sentence that means the same as the statement.<br><br>&quot;I didn&#146;t do anything at all ,&quot; she said. ",3.0,1.076410899,N,c. She promised she would do it.,1.0,0.0,0.0
825,"Choose the sentence that means the same as the statement.<br><br>&quot;I hope Andy phones tonight,&quot; said Clare. ",3.0,0.624654303,N,c. Clare is afraid Andy will call tonight.,1.0,0.0,0.0
828,Choose the sentence that means the same as the statement.<br><br>&quot;Please! Please! Don&#146;t tell anyone!&quot; he said.,3.0,-1.684675689,N,c. He praised me for not having told anyone.,1.0,0.0,0.0
831,"Choose the sentence that means the same as the statement.<br><br>""You&#146;d better take driving lessons."" she said.",3.0,0.5691419681000001,N,c. She indicated I was a better driver since I took lessons.,1.0,0.0,0.0
834,Choose the sentence the speaker would say next.<br><br>I don&#146;t know about renting the premises: the walls are scratched and the pipes leaking.,3.0,-0.06879243733,S,a) Let&#146;s look at some more ads.,1.0,0.0,0.0
837,"Choose the statement that best represents what the speaker would say next.<br><br>Charles and Caroline are happy, they  just got married.",1.0,0.3593833159000001,S,c) I&#146;m happy for them. ,1.0,0.0,0.0
840,Choose the statement that best represents what the speaker would say next.<br><br>I&#146;m so hungry I could swallow a horse.,2.0,-0.6331833134,S,c) What do you have in the refrigerator?,1.0,0.0,0.0
843,Choose the statement that best represents what the speaker would say next.<br><br>I couldn't go to class last week.,2.0,2.018635752,N,c) I couldn&#146;t catch what the lecturer said.,1.0,0.0,0.0
846,Choose the statement that best represents what the speaker would say next.<br><br>I got stuck in traffic and couldn&#146;t go to the meeting.,2.0,0.6866069505,N,c) Why didn&#146;t you tell me about it?,1.0,0.0,0.0
849,Choose the statement that best represents what the speaker would say next.<br><br>Peter and Justine are father and daughter.,1.0,-0.4493156876,N,"c) Yes, she is.",1.0,0.0,0.0
852,Choose the statement that best represents what the speaker would say next.<br><br>This report doesn&squo;t say whether the meeting is in the morning or afternoon.,2.0,0.4016076281,S,"c) So could you send an e-mail making it clear to everybody, please?",1.0,0.0,0.0
855,Choose the statement that best represents what the speaker would say next.<br><br>This seat seems to be free.,2.0,1.123251237,N,c) There&#146;s an old lady sitting in it.,1.0,0.0,0.0
858,Cigarette smoking could kill you. _____________,1.0,0.7849376095999999,S,a) Stop smoking before it&#146;s too late.,1.0,0.0,0.0
861,Clara has got a headache. She ________________ with us to the club.,1.0,0.2465557951,N,c) coming,1.0,0.0,0.0
864,Claudia: There&#146;s no milk in the fridge.<br>    Nicholas: Really? ________ some tomorrow.<br>,1.0,0.3015449583,N,c) I&#146;m get,1.0,0.0,0.0
867,Colombian women __________ very beautiful,1.0,0.6757715459999999,N,c) looks,1.0,0.0,0.0
870,Could you ask Andy ____________________ ?,3.0,0.8197785675,N,c) does he call me back,1.0,0.0,0.0
873,"Dave thinks she&#146;s from the United States, but judging by her accent, she ________ be British.",2.0,1.443303161,N,c) would,1.0,0.0,0.0
876,Did Sandra _____________  the lights before we left?,1.0,1.326682986,N,c) turns off,1.0,0.0,0.0
879,Do you know __________________________ she's coming to the party?,3.0,1.203440965,N,c) if does,1.0,0.0,0.0
882,Do you know where I can _________________ my fortune?,3.0,-1.048538381,S,c) get someone to tell,1.0,0.0,0.0
885,Do you _______________that you wrote the article? said Mr. Jordan.,2.0,0.647390542,N,a) expected me to believe,1.0,0.0,0.0
888,Do you think we can get Karen _________ us to San Diego?,3.0,0.7337625436,N,c) taking,1.0,0.0,0.0
891,Everyone was home for the holidays. There wasn&squo;t  ___________ Christmas than that.,2.0,1.451490795,S,c) a merrier,1.0,0.0,0.0
894,Excuse me! Your music is very loud. _________________,2.0,1.6349425430000002,N,a) May you turn it down a little?,1.0,0.0,0.0
897,Gloria is very upset at her son. She ______________.,1.0,0.1006951892,S,a) isn&#146;t going to let him go out,1.0,0.0,0.0
900,Gloria: Joe took your new car.<br>Samuel: WHAT? ________ him. He had an accident last week!<br>,1.0,1.491408521,N,c) I killing,1.0,0.0,0.0
903,Have you ever ________ to New York? No I&#146;ve never ________ there.,2.0,0.1279096455,S,c) been been,1.0,0.0,0.0
906,"Have you ________ to the top of the Empire State Building? No, I ________ yet.",2.0,0.1215762406,N,c) going / hasn&squo;t,1.0,0.0,0.0
909,He asked me if ____________________________.,3.0,2.248812682,N,a. I will go to a movie with him.,1.0,0.0,0.0
912,He bought all the books ________.<br>,3.0,-1.676309476,N,c) that is required for the course. ,1.0,0.0,0.0
915,He can ___ to his radio when my mother is not at home.,1.0,1.779136375,N,c) to listen,1.0,0.0,0.0
918,He can ________________ very well.,1.0,1.215364548,S,c) dance,1.0,0.0,0.0
921,"He covered all the walls with wooden boards. ______ , the damages the tornado caused were very little.",3.0,0.4766807708,S,a) Therefore,1.0,0.0,0.0
924,Henry: What time should we meet Gloria at the airport?<br>Nina: I think  she ________ in half an hour. I think we should leave now.<br>,1.0,0.5754578954,S,c) will arrive,1.0,0.0,0.0
927,Her husband always _________________  the laundry.,3.0,-1.227890666,S,c) helps her do,1.0,0.0,0.0
930,He told me that when he was little___________________________.,3.0,-0.1683064809,S,b. he had had to wear a uniform,1.0,0.0,0.0
933,How long ______________  in Canada?,2.0,1.3935661540000002,N,c) are you being,1.0,0.0,0.0
936,I&#146;m not sure where Dave is. He __________ taken Benjamin to a movie or to the zoo.<br>,3.0,2.082728557,N,c) ought not to have,1.0,0.0,0.0
939,I&#146;ve just ________ back from L.A. I ________ at least six weeks over there. ,2.0,-1.018169617,N,b) came / spent,1.0,0.0,0.0
942,I  ________ a Broadway show.,2.0,2.405982586,N,c) having starred in,1.0,0.0,0.0
945,I ______ all about it if you hadn&#146;t reminded me.,3.0,0.6588807024000001,N,a) had forgotten,1.0,0.0,0.0
948,I ____________ a lot of new friends since I moved to this building.,2.0,2.046125691,S,b) have made,1.0,0.0,0.0
951,I always ___ the window at night because it is cold.<br><br>,1.0,0.1675017799,N,c) closes,1.0,0.0,0.0
954,________________ I am carrying all these books.,2.0,1.099369532,S,"a) Could you open the door for me, please?",1.0,0.0,0.0
957,I _______ anything because the dentist _______ me two kinds of anaesthetic.,3.0,1.24032976,S,b) didn&#146;t feel . . . had given,1.0,0.0,0.0
960,I __________ been glad to help you. Why didn&#146;t you ask?,3.0,-0.1201053004,N,c) must&#146;ve,1.0,0.0,0.0
963,"I __________behave foolishly, but I&#8217;ve grown up.",2.0,1.38061843,S,a) used to,1.0,0.0,0.0
966,I didn&#146;t understand what you said to me. ___________________,2.0,1.775108272,N,"a) Do you repeat, please?",1.0,0.0,0.0
969,I _______ dinner when I _______ to watch tv for a while.,3.0,2.267367985,N,c) had finished . . . had decided,1.0,0.0,0.0
972,I  don&#146;t understand why you _____ lend me your car.,1.0,1.81693862,N,c) am not,1.0,0.0,0.0
975,"I don&#146;t want you to be upset, but I ___________the bill!",2.0,2.131692754,S,c) forgot to pay,1.0,0.0,0.0
978,I don´t know __________________ angry.,3.0,2.05800456,N,a) why is she,1.0,0.0,0.0
981,"I ______________fat, but I lost a lot of weight in high school.",2.0,2.076462899,N,c) would always be,1.0,0.0,0.0
984,"If he _______all his money, he ________on holiday to Canada.",2.0,1.113891349,S,a) saves/ will be able to go,1.0,0.0,0.0
987,"If he were younger, he ________ able to walk faster.",2.0,1.590242901,S,c) would be,1.0,0.0,0.0
990,"If I ________ a penny  every time I hear the same excuse, I would be rich!",2.0,1.531533685,N,b) will get,1.0,0.0,0.0
993,"If I had gone to college, I ______ Economics.",3.0,1.01066631,S,c) would have studied,1.0,0.0,0.0
996,"If I had gone to England, I ______ missed Rachel&#146;s visit.",3.0,3.305611251,N,c) will have,1.0,0.0,0.0
999,"If I hadn&#146;t spent all the money I had, I _________ to the concert last night.",3.0,-0.538250652,S,c) would have gone,1.0,0.0,0.0
1002,"If I __________, I would be in serious trouble with my parents.",2.0,-0.2883337935,S,c) weren't such a good student ,1.0,0.0,0.0
1005,"If it ________ in the Sahara desert, it would be possible to grow some kind of vegetable.",2.0,-1.7592577969999998,S,a) rained,1.0,0.0,0.0
1008,"If I ________ you, I wouldn&#146;t accept that job. It sounds terrible!!",2.0,1.29994242,N,b) am,1.0,0.0,0.0
1011,"If Jan could run 100 metres in 10 seconds, he _______ an excellent athlete.",2.0,0.8757764231999999,N,a) will be ,1.0,0.0,0.0
1014,"If  __________ no oil in the engine, the car ________ ",2.0,0.6747615932,N,c) there are / will break down,1.0,0.0,0.0
1017,"If smoking were allowed, I ________ a cigarette.",2.0,0.7458982265,N,a) had,1.0,0.0,0.0
1020,"If you _______ in the fridge, you _________ some cold drinks.",2.0,-1.954758357,N,c) will find / look,1.0,0.0,0.0
1023,"If your dog ________, how many things would it say?",2.0,-1.419271453,N,c) will speak,1.0,0.0,0.0
1026,"If you really want to bake a delicious cake, ___________",1.0,2.8095059680000003,N,c) use fresh strawberries and to marinate them in cranberry juice.,1.0,0.0,0.0
1029,"If you ______ to what I said, none of this would have happened.",3.0,-1.01694314,N,c) would listen,1.0,0.0,0.0
1032,"If you _________your sandwiches now, you _________ anything for lunch!",2.0,3.84258544,N,c) will eat / have,1.0,0.0,0.0
1035,"If you _____ , you ________ the test.",2.0,0.4724650342,N,c) isn't study/ will fail,1.0,0.0,0.0
1038,I ___ go to the party because I am sick.,1.0,1.993383749,N,c) don´t  want,1.0,0.0,0.0
1041,"I ________________ go to the party, but I&#146;m not sure yet.",2.0,2.759404539,N,c) must,1.0,0.0,0.0
1044,"I haven&#146;t ________ the ferry to Ellis Island. I&#146;ve ________ work so hard, I haven&#146;t had time.",2.0,0.7956446545999999,N,c) taking have to,1.0,0.0,0.0
1047,I _______ in the door when the phone _______.,3.0,0.266261569,N,c) just walked . . . had rung,1.0,0.0,0.0
1050,I ______________ Judy for more than five weeks.,2.0,3.5373226160000004,N,b) haven't been seeing,1.0,0.0,0.0
1053,I like this jacket a lot. ___________________,2.0,2.587940965,S,"a) Could I try it on, please?",1.0,0.0,0.0
1056,I'm feeling dizzy.______________,1.0,1.5425126080000002,S,"a) Please, pull over so I can get some air.",1.0,0.0,0.0
